This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202208 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BEME, and OP.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm’s accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM LoOP,ME1 BM1 OP2,ME1 BM1 OP3,SMALL LoBM HiOP,ME1 BM2 OP1,ME1 BM2 OP2,ME1 BM2 OP3,ME1 BM2 OP4,ME1 BM3 OP1,ME1 BM3 OP2,ME1 BM3 OP3,ME1 BM3 OP4,SMALL HiBM LoOP,ME1 BM4 OP2,ME1 BM4 OP3,SMALL HiBM HiOP,BIG LoBM LoOP,ME2 BM1 OP2,ME2 BM1 OP3,BIG LoBM HiOP,ME2 BM2 OP1,ME2 BM2 OP2,ME2 BM2 OP3,ME2 BM2 OP4,ME2 BM3 OP1,ME2 BM3 OP2,ME2 BM3 OP3,ME2 BM3 OP4,BIG HiBM LoOP,ME2 BM4 OP2,ME2 BM4 OP3,BIG HiBM HiOP
196406,  -0.4661,   8.7699,   0.8513,   1.6608,  -0.9880,   0.6156,   1.6136,   2.3030,   0.7484,   1.2624,   1.1646,   6.0937,   2.0183,   1.3960,   7.3855,   3.3764,   0.8764,   3.1945,   1.0810,   0.4840,   2.8220,   4.4884,   1.1099,   0.9702,  -0.0112,   2.0428,   2.5749,  -1.3136,   1.5703,   1.3658,  -3.8917,   0.5979
196407,   1.6600,   5.8380,   2.3702,   1.3501,   3.9569,   3.2086,   2.8491,   2.3052,   7.1422,   2.7850,   3.2744,   6.4339,   0.5483,   1.4669,   4.7062,   4.0603,  -5.3030,   1.0035,   3.3945,   2.3462,   2.1436,   0.1847,   3.2522,   2.6045,   3.0524,   2.6906,   2.5472,   3.8220,   1.2947,   1.0060,  -0.1525,   6.0998
196408,  -0.7507,  -4.0668,  -0.4791,  -0.7291,  -0.1605,   1.5942,  -1.5589,   0.5877,  -2.1191,  -0.7503,  -1.8235,  -3.3732,  -1.4485,  -3.0263,   0.1255,   0.0205,  -4.0000,  -0.1549,  -1.8687,  -1.9436,  -1.8767,  -2.3444,  -0.7313,  -1.3909,  -1.7669,   0.7194,  -0.8514,   3.5518,  -1.8740,   0.8955,  -1.6343,  -8.8850
196409,   8.9996,   5.4704,   3.8461,   2.1837,   4.9484,   0.8299,   1.9769,   4.0478,   3.1697,   0.9463,   4.0101,   3.7052,   2.1292,   2.5567,  -0.7329,   3.2104,   8.3333,   2.6694,   3.4745,   3.1085,   3.4565,   0.5998,   2.5868,   2.1039,   4.3500,   1.2382,   4.4723,   4.7546,   4.6565,   4.3380,   6.6658,  -0.5736
196410,  -4.7444,   1.2625,   0.9337,   2.4242,  -0.6073,   0.3974,   2.2820,   0.4907,   0.9747,   2.2785,   1.8541,   6.1751,   4.3524,   2.2087,   6.1219,   6.1397,  -4.2308,  -0.3311,   0.2020,  -0.1210,   6.6860,   0.8711,   2.0881,  -1.9374,   0.8232,   1.0673,  -0.7198,  -0.7339,   0.9761,  -0.2587,   2.2981,  -3.8462
196411,  -0.3573,  -1.9138,  -1.3361,   0.5920,  -0.9536,   0.0601,  -1.0554,  -1.1981,  -2.5876,   0.4616,  -0.4929,   2.9402,  -1.0976,  -0.9471,   4.3140,   1.4601,  -7.6305,   2.1824,   1.4211,  -0.6480,   1.9946,  -1.5843,   1.2002,   0.5948,   1.2785,   0.7900,  -0.2832,   0.0536,  -1.2428,  -2.3078,  -3.5421,  -5.8000
196412,  -1.1293,   0.1226,   0.1066,   0.1081,   0.8891,  -0.0618,  -1.7756,  -2.3931,  -2.7070,  -1.7349,  -1.5396,  -3.2796,  -1.7573,  -0.1776,  -6.8497,  -2.1965,   2.6435,   1.6240,   0.6266,   1.2454,  -1.0192,   2.0380,  -0.6784,  -0.9663,  -1.7717,  -1.3739,   1.0924,   0.2585,  -2.1488,  -1.2685,   0.1148,  -2.5478
196501,   5.4042,   9.4228,   4.2877,   6.2868,   5.6179,   5.0154,   6.2535,   7.6142,   9.7058,   5.2971,   5.6148,   7.4007,   6.2327,   5.3156,  10.3789,  15.3126,   4.6948,   2.4280,   4.8364,   6.1699,  -2.5119,   0.1247,   4.7076,   1.3260,   3.6792,   3.9789,   3.4595,   0.2272,   4.5882,   3.2609,   3.8935,   3.2680
196502,   2.9499,   0.0740,   5.0110,   3.7137,   4.2365,   2.4399,   3.1345,   2.9443,   3.3282,   3.1074,   3.6953,  11.1743,   4.5378,   5.0636,   2.3173,  14.6550,  -2.2026,   0.9663,   0.3362,   0.2647,  -3.0498,  -1.2450,   1.2319,   0.3896,  -0.0284,   1.9403,   3.2955,   1.1767,  -0.6410,   1.1485,  -0.9979,  -3.5865
196503,  -1.0361,   3.6708,  -0.2513,   0.4868,   0.2042,   1.0846,   0.7365,   0.3368,  -0.7995,   1.1011,   1.5403,  -0.3778,   1.0179,   0.5144,  -0.4226,   4.6636,  -3.1532,  -1.2729,  -1.0305,  -1.3512,  -2.5471,  -2.1548,  -0.5148,  -2.0705,  -2.8075,  -0.5263,  -0.1262,  -1.3065,  -0.3144,  -0.3800,   1.2371,   0.6565
